OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
46,CT1100-00-1-L1_01,10.4,01090005,2012,Porter Pond (Sterling),"Headwaters of Wood River near Rhode Island border, Sterling.",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,453216.352355957,4361.25502830458
47,CT3805-00-3-L7_01,57.2,01100002,2012,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,2491844.77581787,14935.9782479158
48,CT3600-00-3-L8_01,106.6,01100001,2012,Hopeville Pond (Griswold),"Impoundment of Pachaug River, Griswold; ds of Pachaug Pond.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4643768.13903809,29443.5258515004
49,CT3600-00-3-L3_01,37.32,01100001,2012,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1625623.78741455,12065.1074097651
50,CT3900-00-4-L1_01,58.54,01100003,2012,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2549905.95861816,13949.1101671402
51,CT3900-01-1-L1_01,132.92,01100003,2012,Red Cedar Lake (Lebanon),South corner of Lebanon.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5789932.67681885,19134.1142544087
52,CT1002-00-1-L1_01,46.15,01090005,2012,Green Falls Reservoir (Voluntown),"SE Voluntown, east of Rte 49, south of Rte 138, in Pachaug State Forest",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2010121.45599365,10451.5622689765
53,CT3906-00-1-L1_01,527.29,01100003,2012,Gardner Lake (Salem/Montville/Bozrah),"At junction of Salem, Montville and Bozrah.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22968962.6672974,30886.4049147982
54,CT3002-02-1-L2_01,112.42,01100003,2012,Amos Lake (Preston),"East of Rte 164, Preston.",Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,4897161.93151855,13730.4604963511
55,CT3605-00-1-L1_01,94.88,01100001,2012,Billings Lake (North Stonington),North central North Stonington.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4132840.53131104,17083.5185932358
56,CT3605-01-1-L1_01,49.18,01100001,2012,Anderson Pond (North Stonington),North central North Stonington,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2142210.925354,10054.1435736192
57,CT3002-04-1-L1_01,45.62,01100003,2012,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1987174.78601074,5721.7715924439
58,CT1001-00-1-L1_01,98.94,01090005,2012,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49.  Headwaters of Wyassup Brook.",Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,4309780.11901855,13629.4506635298
