OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
108,2994,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,49.9,Not Supporting,Fully Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,2173453.84350586,8614.08013282726
109,477,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.",5.87,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,255716.59161377,2192.5123998978
110,992,CT4707-00-2-L2_01,Gay City Pond (Hebron),Gay City State Park.  Impoundment of Black Ledge River. NW corner of Hebron.,5.14,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,223783.903930664,2790.63069069662
111,136,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,145.49,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,6337721.97784424,11945.9734778848
112,1853,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,2.71,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,118174.373901367,1733.11228615471
113,225,CT4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol",11.84,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,515725.237670898,4085.80379665061
114,1262,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,68.67,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,2991115.57879639,8150.79310499966
115,2421,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion crossws the New York border.",155.9,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,6791207.90441895,18898.1358422667
116,297,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,9.39,Not Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,409046.031494141,4211.6135969823
117,1538,CT4708-00-1-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.",81.29,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3541096.76025391,9240.51873053652
118,2273,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",502.28,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,21879509.5718994,31557.1944540256
119,2627,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",140.58,Not Supporting,Fully Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,6123594.49749756,19689.1509828178
120,1066,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.",71.91,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,3132456.67565918,8475.30095433372
121,691,CT4700-02-1-L1_01,Day Pond (Cholchester),"Impoundment and headwaters of Day Pond Brook. Day Pond Road, Colchester (east of Rte. 149).",7.35,Not Assessed,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,320207.771484375,2933.58972841268
122,2234,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam.  Drains to Moodus Reservoir",82.11,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3576675.64752197,14162.0802148616
123,1507,CT4800-04-1-L1_01,"Hayward, Lake (East Haddam)",Northeast corner of East Haddam.,172.41,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,7510211.421875,20347.5910059682
124,658,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",30.96,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1348398.12451172,11255.6496799783
125,199,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,112.83,Not Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4914724.97888184,12942.1797995952
126,1902,CT4710-00-1-L2_01,Moodus Reservoir (East Haddam),Northeast East Haddam.,440.74,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,19198758.9342651,61417.6455818839
127,755,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.",15.24,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,663776.623413086,4895.41542597676
128,127,CT4710-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.",265.54,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,11567075.5786133,28316.599662963
129,1226,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,26.4,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1150069.11279297,8248.68274121068
130,2183,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, Cockaponset State Forest, Chester.",52.25,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2276071.87451172,11858.1391458263
131,453,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.",70.65,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3077707.22137451,8095.68944514825
132,2054,CT4800-10-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.",29.4,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1280695.13623047,5069.01586394847
133,2991,CT4800-16-1-L2_01,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.",69.03,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3006833.987854,10186.4015733748
134,1829,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,81.67,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3557694.15472412,15716.1791115268
135,3583,CT4019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.",29.74,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1295495.68609619,9276.82415260444
136,1230,CT4302-16-1-L1_01,Highland Lake (Winchester),Southeast corner of Winchester.,448.18,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,19522917.161499,42660.5019058827
137,2156,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",77.15,Not Assessed,Not Assessed,Not Supporting,2006,Water Not Classified For Drinking Supply,3360760.95343018,12713.7385239204
138,2782,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook,  Simsbury;  south of Rte 309.",2.35,Not Assessed,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,102333.258850098,1350.60998256905
139,1445,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,120.48,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,5248052.03820801,14373.0382639626
140,1097,CT4010-00-1-L1_01,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).",27.22,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1185690.67126465,5686.23228399884
141,297,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).",17.05,Not Assessed,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,742668.290588379,6430.206155026
142,1891,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire.  Impoundment at head of Tenmile River",10.68,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,465235.390686035,4528.13381173806
143,631,CT3106-00-2-L2_01,Crandau Pond (Tolland),"Cider Mill Road, Tolland (just north of Rte 84)",2.47,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,107803.081787109,1394.09281563945
144,0,CT4607-00-UL_pond_01,Wadsworth Falls Park Pond (Middletown),"Small pond within Wadsworth Falls State Park, between mouths of Laurel Brook and Wadsworth Brook, Middlefield.",1.37,Not Assessed,Not Supporting,Not Assessed,2006,Water Not Classified For Drinking Supply,59796.3538208008,965.976340275584
145,350,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",0.58,Not Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,25250.8279418945,812.513043510797
146,1526,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir",14.95,Not Assessed,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,651089.495574951,4392.38176463254
147,240,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"Impoundment of Purgatory Brook (trib to Branch Brook), Watertown; west of Rte 6.",9.48,Not Assessed,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,412751.200378418,5702.30956654851
148,2689,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",14.3,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,622708.624816895,3909.75738586905
149,41,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",9.35,Not Assessed,Not Supporting,Not Assessed,2006,Water Not Classified For Drinking Supply,407170.506103516,3554.92156559173
150,1942,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock",38.42,Not Assessed,Fully Supporting,Fully Supporting,2006,Not Assessed,1673428.2232666,7910.69606499127
151,209,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",6.05,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,263646.427429199,2833.02566819097
152,1514,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1619.88,Fully Supporting,Not Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,70562139.166626,190484.907426928
