OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
26,2343,CT3700-28-1-L1_01,Wauregan (Quinebuag) Pond (Killingly),Southwestern corner of Killingly. (Formerly incorrect ID of CT3700-00-5+L3_01),71.06,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3095470.3404541,9989.78289382921
27,1752,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street",8.13,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,354033.221557617,5593.14083838302
28,568,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.",852.34,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,37128120.9713745,63814.3826895355
29,239,CT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Doad (Route 66).",69.89,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3044580.73687744,18777.9099757545
30,1554,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside).",580.57,Fully Supporting,Not Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,25289612.5776978,72328.1548630443
31,1554,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",339.25,Not Supporting,Fully Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,14777928.1726685,60748.0103837986
32,1092,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,37.56,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,1635970.57928467,7640.60064765069
33,214,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,25.8,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,1123755.30596924,8981.11596771993
34,236,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.",71.88,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,3130901.16326904,8213.55228225437
35,2465,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,96.38,Fully Supporting,Not Supporting,Fully Supporting,2006,Not Evaluated In 2006,4198419.5526123,10217.4886395941
